Empreendimento;UF;Torre;Unidade;Status da Unidade;Valor Unidade/Lote;Andar;Tipologia
RESERVA DOS COLIBRIS;PB;BLOCO A;01604;Disponível;R$ 287.610,00;016;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01606;Disponível;R$ 287.610,00;016;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00009;Disponível;R$ 228.504,00;000;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01012;Disponível;R$ 246.102,00;010;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01112;Disponível;R$ 247.342,00;011;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01202;Disponível;R$ 248.580,00;012;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00710;Disponível;R$ 246.658,00;007;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01310;Disponível;R$ 249.820,00;013;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01609;Disponível;R$ 287.610,00;016;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00303;Disponível;R$ 241.816,00;003;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00603;Disponível;R$ 245.448,00;006;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00805;Disponível;R$ 272.522,00;008;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01003;Disponível;R$ 246.102,00;010;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01205;Disponível;R$ 275.022,00;012;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00304;Disponível;R$ 265.776,00;003;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00405;Disponível;R$ 267.124,00;004;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00604;Disponível;R$ 269.824,00;006;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00806;Disponível;R$ 272.522,00;008;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01004;Disponível;R$ 275.220,00;010;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01103;Disponível;R$ 247.342,00;011;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01403;Disponível;R$ 267.468,00;014;2 DORM C/ VG CAR - MCMV FX2
